DATE,DAILY_PRECIP,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,YEAR,TEMPERATURE,HUMIDITY
2003-01-01,-0.011,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,9.771,36.109
2003-01-05,999.999,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,999.999,999.999
2003-02-01,0.002,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,11.049,30.460
2003-02-02,999.999,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,999.999,999.999
2003-02-03,0.361,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,6.213,37.645
2003-02-05,0.223,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,4.458,36.783
2003-02-06,0.088,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,3.765,36.906
2003-02-07,0.054,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,10.079,38.552
2003-02-10,0.063,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,2.256,35.982
2003-02-18,0.038,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,12.763,35.545
2003-02-24,0.391,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,11.827,33.331
2003-02-27,0.108,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,12.150,36.100
2003-02-28,0.208,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,3.163,33.545
2003-03-01,0.013,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,2.258,33.183
2003-03-02,0.311,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,8.219,41.808
2003-03-05,0.144,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,11.885,31.354
2003-03-17,0.112,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,8.239,34.455
2003-03-18,1.798,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,34.963,49.145
2003-03-19,2.337,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,46.746,53.458
2003-03-21,0.077,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,13.540,38.256
2003-03-24,0.324,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,5.481,34.232
2003-03-28,0.053,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,3.069,37.108
2003-03-29,0.059,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,2.188,33.795
2003-04-01,0.075,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,10.498,39.439
2003-04-06,0.134,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,8.677,33.911
2003-04-07,0.181,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,12.612,32.365
2003-04-08,0.209,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,12.178,35.951
2003-04-18,0.183,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,9.661,40.305
2003-04-19,0.240,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,3.801,33.080
2003-04-20,0.112,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,14.235,33.254
2003-04-22,0.120,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,5.409,39.324
2003-04-24,0.552,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,21.038,36.775
2003-04-25,999.999,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,999.999,999.999
2003-05-01,0.036,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,-1.287,39.605
2003-05-08,0.089,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,3.774,36.430
2003-05-09,0.103,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,13.055,35.582
2003-05-10,1.483,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,26.650,44.220
2003-05-16,1.113,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,34.253,43.181
2003-05-19,0.107,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,13.135,39.694
2003-05-24,0.150,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,9.998,38.839
2003-05-31,0.331,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,13.610,40.764
2003-06-01,0.016,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,5.318,38.487
2003-06-05,0.106,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,7.129,38.491
2003-06-07,0.489,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,7.779,38.672
2003-06-14,0.252,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,3.043,38.457
2003-06-18,0.361,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,14.222,34.049
2003-06-19,0.905,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,23.100,40.080
2003-06-20,0.162,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,12.239,34.856
2003-06-23,0.127,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,7.534,36.973
2003-06-25,0.076,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,5.519,35.848
2003-07-01,0.064,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,9.288,34.315
2003-07-19,0.098,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,4.955,32.182
2003-07-27,0.117,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,13.337,33.775
2003-07-29,0.142,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,2.843,32.777
2003-07-31,0.194,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,10.889,38.475
2003-08-01,0.018,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,2.357,33.223
2003-08-04,0.087,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,12.744,34.017
2003-08-07,0.084,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,10.673,37.109
2003-08-09,0.088,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,0.758,34.503
2003-08-18,0.295,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,6.899,33.520
2003-08-27,0.096,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,3.912,32.885
2003-08-30,1.214,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,31.272,45.429
2003-09-01,0.003,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,-2.936,31.665
2003-09-18,0.296,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,15.920,35.448
2003-10-01,0.043,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,9.854,36.302
2003-10-30,0.106,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,14.122,37.289
2003-10-31,0.095,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,-0.093,37.203
2003-11-01,0.122,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,4.437,33.575
2003-11-03,0.319,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,14.372,37.549
2003-11-06,0.140,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,11.801,33.960
2003-11-22,0.217,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,1.341,32.896
2003-11-23,0.071,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,7.426,38.931
2003-12-01,-0.024,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2003,2.510,31.924
2004-01-01,-0.002,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,0.951,38.341
2004-01-03,0.219,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,6.386,32.915
2004-01-20,0.127,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,9.541,36.016
2004-01-26,0.560,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,14.204,36.122
2004-02-01,0.306,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,4.116,36.246
2004-02-04,0.051,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,12.016,31.807
2004-02-05,0.169,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,14.370,37.308
2004-02-11,0.205,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,1.101,39.761
2004-02-12,0.068,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,0.366,30.746
2004-02-20,0.313,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,9.263,39.905
2004-02-29,0.161,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,4.218,37.967
2004-03-01,0.004,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,2.079,35.031
2004-03-05,0.793,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,27.864,45.186
2004-04-01,-0.024,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,1.513,37.205
2004-04-03,0.710,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,26.192,40.917
2004-04-06,0.355,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,10.108,38.803
2004-04-08,0.097,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,13.934,37.453
2004-04-09,1.004,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,30.076,44.470
2004-04-10,1.031,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,30.613,45.645
2004-04-11,0.123,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,8.465,39.106
2004-04-12,0.244,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,12.886,40.314
2004-04-21,0.223,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,7.463,38.945
2004-04-22,0.708,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,18.168,40.907
2004-04-23,0.378,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,17.559,41.384
2004-04-25,0.211,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,15.217,40.047
2004-04-29,0.099,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,5.986,37.234
2004-04-30,0.488,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,11.759,39.144
2004-05-01,0.008,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,10.156,30.742
2004-05-12,0.493,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,15.860,39.904
2004-05-13,0.256,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,14.118,36.807
2004-05-22,0.049,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,0.986,39.234
2004-05-25,0.299,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,13.989,37.155
2004-05-30,0.076,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,3.520,34.648
2004-06-01,0.026,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,3.525,36.410
2004-07-01,-0.009,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,4.821,34.208
2004-07-02,0.018,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,11.350,34.180
2004-07-16,0.202,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,9.037,35.895
2004-07-17,0.298,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,11.950,38.340
2004-07-20,0.112,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,8.238,35.895
2004-07-22,0.097,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,-1.051,40.340
2004-07-23,1.735,COOP:050843,BOULDER 2 CO US,1650.500,40.034,-105.281,2004,32.705,46.002
