297,993,0
90,854,0
61,768,0
650,626,1
942,651,0
605,336,1
665,911,0
908,748,0
51,216,0
106,46,0
558,470,1
475,116,0
637,204,0
673,813,0
219,979,0
372,382,1
786,872,0
234,209,0
34,800,0
775,531,0
344,887,0
306,149,0
630,923,0
308,703,0
18,179,0
884,194,0
780,536,0
833,832,0
60,395,0
750,381,0
583,830,0
641,104,0
517,905,0
472,529,1
666,799,0
349,235,0
515,524,1
722,825,0
982,368,0
555,247,0
251,487,1
596,863,0
191,761,0
262,405,0
184,310,0
975,839,0
804,948,0
220,882,0
997,991,0
947,171,0
957,867,0
157,784,0
831,199,0
502,499,1
840,663,0
477,249,0
806,426,0
973,318,0
133,683,0
677,630,1
757,3,0
193,214,0
117,51,0
754,586,0
707,840,0
999,500,0
0,785,0
64,796,0
123,538,0
994,903,0
605,400,1
360,202,0
638,792,0
4,778,0
843,274,0
50,584,0
892,695,0
424,408,1
856,900,0
107,820,0
785,715,0
390,208,0
668,987,0
798,596,0
73,483,0
750,872,0
723,28,0
281,659,0
256,714,0
563,479,1
580,146,0
256,465,1
86,738,0
630,283,0
683,542,1
705,221,0
349,369,1
69,524,0
980,546,0
89,269,0
932,451,0
720,267,0
844,95,0
400,877,0
895,264,0
6,287,0
91,139,0
365,897,0
454,496,1
743,54,0
742,65,0
956,883,0
525,381,1
696,540,1
588,575,1
403,192,0
461,345,1
519,244,0
683,261,0
78,783,0
681,445,1
576,165,0
40,363,0
23,682,0
339,185,0
663,16,0
669,110,0
1,40,0
400,149,0
687,937,0
442,259,1
446,93,0
557,940,0
524,302,1
315,863,0
526,844,0
188,96,0
830,195,0
651,869,0
152,524,0
953,602,0
533,647,1
610,896,0
604,58,0
123,99,0
751,538,0
806,949,0
358,387,1
222,155,0
1,653,0
808,499,0
149,148,0
405,72,0
346,855,0
286,40,0
930,406,0
611,627,1
662,773,0
128,149,0
46,389,0
86,149,0
147,898,0
742,820,0
36,729,0
248,12,0
432,921,0
689,169,0
692,220,0
920,971,0
509,506,1
94,240,0
921,89,0
689,137,0
499,838,0
116,356,0
113,389,0
851,575,0
